Nom du Graphe    	Temps_BellmanFord	Temps_Dijkstra    	Moy d'Arcs/Noeud 	Ratio
Graphe1.txt      	1235500          	350599           	7,8              	113448,8462      
Graphe101.txt    	7272799          	2941701          	53,7             	80653,5940       
Graphe102.txt    	3243500          	2386500          	52,1             	16455,4531       
Graphe103.txt    	2341999          	1703900          	53,9             	11834,1803       
Graphe104.txt    	3069699          	2056900          	51,3             	19727,2887       
Graphe105.txt    	3150800          	1474001          	50,9             	32917,1378       
Graphe11.txt     	38100            	33100            	9,0              	555,5556         
Graphe12.txt     	28700            	29600            	7,0              	-128,5714        
Graphe13.txt     	38899            	40000            	7,0              	-157,2857        
Graphe14.txt     	41801            	30200            	8,2              	1414,7561        
Graphe15.txt     	89900            	29400            	6,0              	10083,3333       
Graphe2.txt      	36899            	30400            	8,4              	773,6905         
Graphe201.txt    	6600600          	5939601          	101,6            	6509,0990        
Graphe202.txt    	6387200          	3121300          	103,4            	31578,9983       
Graphe203.txt    	6666800          	3222800          	101,4            	33981,2531       
Graphe204.txt    	6739200          	3096501          	100,5            	36234,9448       
Graphe205.txt    	5185101          	2846600          	102,1            	22906,2690       
Graphe21.txt     	85700            	53301            	13,0             	2492,2308        
Graphe22.txt     	80799            	62800            	12,1             	1487,5207        
Graphe23.txt     	57300            	47101            	11,5             	886,8696         
Graphe24.txt     	65500            	50600            	13,6             	1095,5882        
Graphe25.txt     	73100            	48700            	11,7             	2085,4701        
Graphe301.txt    	11163500         	6592600          	152,1            	30058,5270       
Graphe302.txt    	8867000          	6186000          	152,0            	17641,2529       
Graphe303.txt    	7300400          	5931801          	153,1            	8940,4168        
Graphe304.txt    	9490801          	5490800          	152,4            	26249,0222       
Graphe305.txt    	9706400          	5572900          	152,8            	27043,4422       
Graphe31.txt     	71001            	64200            	16,3             	418,0943         
Graphe32.txt     	65801            	65599            	18,3             	11,0584          
Graphe33.txt     	76900            	66500            	17,3             	602,3166         
Graphe34.txt     	127500           	69899            	17,5             	3285,2281        
Graphe35.txt     	76399            	72200            	16,5             	253,9718         
Graphe4.txt      	3600             	3600             	2,7              	0,0000           
Graphe401.txt    	19910701         	11356499         	203,1            	42111,9579       
Graphe402.txt    	22474300         	11581501         	202,3            	53858,0915       
