Nom du Graphe.Graphe    	Temps_BellmanFord	Temps_Dijkstra    	Moy d'Arcs/Graphe.Noeud 	Ratio
Graphe1          	647900           	69100            	1,0              	578800,0000      
Graphe2          	49500            	42600            	0,8              	9200,0000        
Graphe3          	112900           	148500           	1,6              	-22250,0000      
Graphe4          	87100            	60300            	1,5              	17866,6667       
Graphe5          	109700           	79300            	3,7              	8184,6154        
Graphe6          	118000           	77100            	3,3              	12584,6154       
Graphe7          	97600            	72300            	3,1              	8132,1429        
Graphe8          	105100           	85300            	3,8              	5210,5263        
Graphe9          	135000           	100200           	4,5              	7656,0000        
Graphe10         	112600           	98300            	5,4              	2640,0000        
Graphe11         	138100           	102000           	5,7              	6341,8919        
Graphe12         	180800           	129600           	7,3              	7027,4510        
Graphe13         	177400           	157400           	7,3              	2752,2936        
Graphe14         	161200           	135000           	5,4              	4874,4186        
Graphe15         	224200           	336100           	9,2              	-12116,5605      
Graphe16         	331300           	235700           	8,7              	11030,7692       
Graphe17         	398200           	230300           	9,7              	17243,7838       
Graphe18         	248000           	124300           	9,6              	12952,8796       
Graphe19         	270800           	140100           	8,8              	14916,8478       
Graphe20         	247500           	136400           	10,5             	10626,9565       
Graphe21         	189400           	127300           	12,1             	5137,7698        
Graphe22         	167700           	131900           	9,8              	3656,1702        
Graphe23         	177700           	138900           	10,0             	3880,0000        
Graphe24         	296700           	172600           	13,2             	9406,9971        
Graphe25         	248200           	177100           	10,7             	6665,6250        
Graphe26         	302900           	180500           	13,0             	9441,3223        
Graphe27         	239900           	193200           	11,6             	4030,6548        
Graphe28         	448900           	202300           	14,4             	17085,4503       
Graphe29         	377500           	211700           	14,6             	11346,1369       
Graphe30         	404400           	221700           	15,3             	11955,8282       
Graphe31         	730300           	320800           	17,3             	23707,8947       
Graphe32         	555500           	268400           	19,0             	15133,9535       
Graphe33         	817200           	270900           	18,2             	30016,4835       
Graphe34         	690600           	304700           	18,3             	21081,0319       
Graphe35         	541000           	287400           	17,3             	14661,2500       
Graphe36         	756400           	378500           	18,8             	20140,5330       
Graphe37         	600300           	341900           	19,4             	13330,1587       
Graphe38         	792900           	351700           	20,5             	21521,9512       
Graphe39         	502000           	621800           	19,4             	-6162,8607       
Graphe40         	1243400          	508300           	20,3             	36237,3239       
Graphe41         	538100           	388700           	21,1             	7082,9107        
Graphe42         	706700           	399300           	22,2             	13858,1967       
Graphe43         	586300           	440600           	19,5             	7484,5890        
Graphe44         	547900           	425100           	24,3             	5052,5939        
Graphe45         	459600           	459100           	24,4             	20,5061          
Graphe46         	735400           	434500           	21,6             	13927,8689       
Graphe47         	897900           	703200           	23,9             	8147,1392        
Graphe48         	608000           	639500           	22,1             	-1424,0506       
Graphe49         	629500           	662500           	23,4             	-1409,5477       
Graphe50         	756200           	742200           	27,1             	515,9461         
Graphe51         	761100           	736700           	24,8             	984,9200         
Graphe52         	685000           	755000           	25,6             	-2731,2139       
Graphe53         	673600           	842700           	24,6             	-6884,1599       
Graphe54         	724000           	907300           	29,1             	-6293,5622       
Graphe55         	546500           	654900           	27,6             	-3920,5584       
Graphe56         	597900           	433200           	30,5             	5393,9018        
Graphe57         	921200           	631000           	27,9             	10389,4417       
Graphe58         	1731700          	442500           	26,9             	47925,6506       
Graphe59         	1087200          	483000           	30,6             	19751,4469       
Graphe60         	1201900          	494000           	29,2             	24261,9127       
Graphe61         	1401800          	379400           	32,8             	31161,6836       
Graphe62         	1094100          	353400           	31,9             	23237,6471       
Graphe63         	685000           	341500           	28,0             	12267,8571       
Graphe64         	958100           	390800           	31,0             	18291,0601       
Graphe65         	1017000          	418200           	31,9             	18791,3817       
Graphe66         	876100           	389200           	33,2             	14676,0638       
Graphe67         	823000           	404700           	31,7             	13179,3151       
Graphe68         	1185900          	425300           	35,4             	21511,9192       
Graphe69         	795500           	413200           	32,8             	11669,5185       
Graphe70         	934400           	462000           	38,8             	12169,1592       
Graphe71         	718800           	446600           	36,1             	7541,0247        
Graphe72         	1349800          	455500           	35,0             	25561,2978       
Graphe73         	1342700          	634400           	36,8             	19247,2826       
